 R(m), ne(m^-3), ni(m^_3), B_T (T) , B_P (T),  B(T), Sfac, T(keV), Pressure
  2.122480E+00  2.399572E+01  1.640338E+06
  3.637045E+00  1.668889E+20  1.383387E+20
  3.139201E+00  4.001072E-02  3.139456E+00
  2.125938E+00  2.396639E+01  1.636958E+06
  3.687045E+00  1.665900E+20  1.379805E+20
  3.103215E+00  1.018434E-01  3.104886E+00
  2.147108E+00  2.378718E+01  1.616418E+06
  3.737045E+00  1.659983E+20  1.372652E+20
  3.074448E+00  1.742127E-01  3.079380E+00
  2.189627E+00  2.342938E+01  1.575961E+06
  3.787045E+00  1.650754E+20  1.361332E+20
  3.052565E+00  2.576744E-01  3.063421E+00
  2.280004E+00  2.286327E+01  1.513431E+06
  3.837045E+00  1.637970E+20  1.345314E+20
  3.036944E+00  3.520633E-01  3.057283E+00
  2.405302E+00  2.206238E+01  1.427974E+06
  3.887045E+00  1.621573E+20  1.324187E+20
  3.025924E+00  4.570700E-01  3.060250E+00
  2.538298E+00  2.100671E+01  1.320473E+06
  3.937045E+00  1.601710E+20  1.297704E+20
  3.017458E+00  5.707651E-01  3.070965E+00
  2.666548E+00  1.968459E+01  1.193620E+06
  3.987045E+00  1.578830E+20  1.265985E+20
  3.009079E+00  6.890508E-01  3.086964E+00
  2.805660E+00  1.810406E+01  1.052509E+06
  4.037045E+00  1.553620E+20  1.229571E+20
  2.998587E+00  8.074679E-01  3.105403E+00
  2.961620E+00  1.629653E+01  9.039717E+05
  4.087045E+00  1.526803E+20  1.189341E+20
  2.983976E+00  9.219532E-01  3.123158E+00
  3.119956E+00  1.431616E+01  7.553511E+05
  4.137045E+00  1.498806E+20  1.146251E+20
  2.964208E+00  1.029307E+00  3.137834E+00
  3.273593E+00  1.223716E+01  6.133336E+05
  4.187045E+00  1.469028E+20  1.100689E+20
  2.938756E+00  1.127338E+00  3.147567E+00
  3.424442E+00  1.014884E+01  4.830898E+05
  4.237045E+00  1.433903E+20  1.050723E+20
  2.908117E+00  1.214678E+00  3.151601E+00
  3.592707E+00  8.150928E+00  3.678919E+05
  4.287045E+00  1.381226E+20  9.871203E+19
  2.873559E+00  1.290874E+00  3.150190E+00
  3.828469E+00  6.347885E+00  2.688407E+05
  4.337045E+00  1.274435E+20  8.797125E+19
  2.837406E+00  1.357789E+00  3.145547E+00
  4.233408E+00  4.830910E+00  1.838759E+05
  4.387045E+00  1.020923E+20  6.507881E+19
  2.802759E+00  1.425217E+00  3.144312E+00
  5.023623E+00  3.539317E+00  1.035463E+05
  4.437045E+00  4.017916E+19  1.905975E+19
  2.771839E+00  1.494833E+00  3.149225E+00
  7.134499E+00  1.368828E+00  1.398435E+04
