  0.907700E-04 -0.226857E+01  0.914115E+07
  0.459142E-03 -0.225813E+01  0.912951E+07
  0.111745E-02 -0.223975E+01  0.910874E+07
  0.207328E-02 -0.221344E+01  0.907867E+07
  0.333428E-02 -0.217882E+01  0.903916E+07
  0.490818E-02 -0.213579E+01  0.899010E+07
  0.680275E-02 -0.208454E+01  0.893141E+07
  0.902576E-02 -0.202530E+01  0.886306E+07
  0.115850E-01 -0.195802E+01  0.878505E+07
  0.144880E-01 -0.188302E+01  0.869743E+07
  0.177426E-01 -0.180045E+01  0.860030E+07
  0.213561E-01 -0.171047E+01  0.849378E+07
  0.253360E-01 -0.161389E+01  0.837808E+07
  0.296893E-01 -0.151014E+01  0.825342E+07
  0.344230E-01 -0.140122E+01  0.812008E+07
  0.395438E-01 -0.128488E+01  0.797839E+07
  0.450581E-01 -0.116548E+01  0.782874E+07
  0.509719E-01 -0.103670E+01  0.767154E+07
  0.572912E-01 -0.891848E+00  0.750726E+07
  0.640225E-01 -0.742860E+00  0.733637E+07
  0.711721E-01 -0.592182E+00  0.715938E+07
  0.787455E-01 -0.441475E+00  0.697686E+07
  0.867478E-01 -0.286509E+00  0.678938E+07
  0.951836E-01 -0.134290E+00  0.659757E+07
  0.104057E+00  0.209127E-01  0.640206E+07
  0.113371E+00  0.177554E+00  0.620350E+07
  0.123130E+00  0.333000E+00  0.600256E+07
  0.133336E+00  0.491426E+00  0.579990E+07
  0.143992E+00  0.650362E+00  0.559619E+07
  0.155099E+00  0.810190E+00  0.539206E+07
  0.166660E+00  0.973027E+00  0.518815E+07
  0.178676E+00  0.113741E+01  0.498507E+07
  0.191150E+00  0.130403E+01  0.478340E+07
  0.204082E+00  0.147429E+01  0.458369E+07
  0.217476E+00  0.164777E+01  0.438647E+07
  0.231332E+00  0.182429E+01  0.419220E+07
  0.245653E+00  0.200503E+01  0.400134E+07
  0.260441E+00  0.218994E+01  0.381427E+07
  0.275699E+00  0.237795E+01  0.363136E+07
  0.291430E+00  0.256943E+01  0.345294E+07
  0.307637E+00  0.276411E+01  0.327928E+07
  0.324324E+00  0.296121E+01  0.311063E+07
  0.341494E+00  0.315754E+01  0.294721E+07
  0.359151E+00  0.335337E+01  0.278919E+07
  0.377299E+00  0.354737E+01  0.263675E+07
  0.395942E+00  0.373664E+01  0.249002E+07
  0.415084E+00  0.391461E+01  0.234915E+07
  0.434727E+00  0.408222E+01  0.221425E+07
  0.454874E+00  0.423687E+01  0.208548E+07
  0.475526E+00  0.437404E+01  0.196300E+07
  0.496684E+00  0.448101E+01  0.184699E+07
  0.518346E+00  0.456214E+01  0.173773E+07
  0.540509E+00  0.461403E+01  0.163555E+07
  0.563168E+00  0.463311E+01  0.154092E+07
  0.586316E+00  0.460097E+01  0.145446E+07
  0.609941E+00  0.452535E+01  0.137702E+07
  0.634030E+00  0.440564E+01  0.130974E+07
  0.658567E+00  0.423966E+01  0.125417E+07
  0.683535E+00  0.402239E+01  0.121237E+07
  0.708910E+00  0.374722E+01  0.118705E+07
  0.734670E+00  0.342795E+01  0.118166E+07
  0.760788E+00  0.306784E+01  0.120034E+07
  0.787237E+00  0.267200E+01  0.124738E+07
  0.813992E+00  0.224802E+01  0.132556E+07
  0.841028E+00  0.180680E+01  0.143204E+07
  0.868322E+00  0.136578E+01  0.154991E+07
  0.895851E+00  0.946573E+00  0.163448E+07
  0.923591E+00  0.573186E+00  0.159974E+07
  0.951508E+00  0.272928E+00  0.132436E+07
  0.979544E+00  0.713622E-01  0.711871E+06
