          53          77
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.847643694E+00 0.807776926E+00 0.777537980E+00 0.759049564E+00
 0.750674469E+00 0.740307159E+00 0.728964533E+00 0.718014639E+00 0.710372857E+00
 0.710701015E+00 0.714199905E+00 0.713468524E+00 0.707987992E+00 0.703523717E+00
 0.714876116E+00 0.741646223E+00 0.742215534E+00 0.735235588E+00 0.727588223E+00
 0.719690370E+00 0.718969744E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.848919589E+00 0.805900368E+00
 0.769106246E+00 0.742539582E+00 0.725815388E+00 0.716592775E+00 0.709035222E+00
 0.702208697E+00 0.696198199E+00 0.692466247E+00 0.693725088E+00 0.696994251E+00
 0.699202603E+00 0.699348514E+00 0.701907226E+00 0.715711629E+00 0.730655951E+00
 0.735309585E+00 0.736676159E+00 0.738045645E+00 0.740836043E+00 0.746960009E+00
 0.776174300E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.813734396E+00 0.771215675E+00 0.738607567E+00 0.715488876E+00
 0.700907509E+00 0.691873439E+00 0.684719031E+00 0.679786770E+00 0.676502691E+00
 0.674144664E+00 0.674702364E+00 0.676828011E+00 0.679891384E+00 0.683443690E+00
 0.689530803E+00 0.700178698E+00 0.711140856E+00 0.718781739E+00 0.726685326E+00
 0.735877890E+00 0.745459013E+00 0.758841792E+00 0.777601056E+00 0.794860273E+00
 0.808499754E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.659810806E+00
 0.659810806E+00 0.659810806E+00 0.659810806E+00 0.817471488E+00 0.773506424E+00
 0.739535345E+00 0.713753100E+00 0.694669462E+00 0.681901125E+00 0.673236539E+00
 0.665648612E+00 0.660638131E+00 0.657376991E+00 0.654736396E+00 0.653804820E+00
 0.654542419E+00 0.656896621E+00 0.661237160E+00 0.667794580E+00 0.676012005E+00
 0.685884305E+00 0.696113807E+00 0.708202023E+00 0.721035946E+00 0.734596449E+00
 0.751483861E+00 0.769114700E+00 0.787631581E+00 0.805631296E+00 0.806203811E+00
