 R(m), ne(m^-3), ni(m^_3), B_T (T) , B_P (T),  B(T), Sfac, T(keV), Pressure
  1.716335E+00  1.740412E+01  4.273661E+05
  7.343309E-01  9.356723E+19  7.796515E+19
  4.749197E+00  7.555121E-01  4.808916E+00
  1.703301E+00  1.780560E+01  4.430054E+05
  7.443309E-01  9.411935E+19  7.845580E+19
  4.626293E+00  7.229501E-01  4.682440E+00
  1.690217E+00  1.820007E+01  4.587931E+05
  7.543309E-01  9.466472E+19  7.893677E+19
  4.507633E+00  6.911802E-01  4.560316E+00
  1.677166E+00  1.858707E+01  4.746983E+05
  7.643309E-01  9.520260E+19  7.940750E+19
  4.392710E+00  6.601106E-01  4.442031E+00
  1.663552E+00  1.896608E+01  4.906861E+05
  7.743309E-01  9.573218E+19  7.986742E+19
  4.281722E+00  6.296604E-01  4.327773E+00
  1.650024E+00  1.933661E+01  5.067185E+05
  7.843309E-01  9.625256E+19  8.031590E+19
  4.174509E+00  5.997342E-01  4.217370E+00
  1.636638E+00  1.969811E+01  5.227533E+05
  7.943309E-01  9.676275E+19  8.075228E+19
  4.070682E+00  5.702667E-01  4.110432E+00
  1.623452E+00  2.005000E+01  5.387440E+05
  8.043309E-01  9.726173E+19  8.117588E+19
  3.970299E+00  5.412066E-01  4.007016E+00
  1.610566E+00  2.039172E+01  5.546410E+05
  8.143309E-01  9.774842E+19  8.158600E+19
  3.873276E+00  5.124857E-01  3.907034E+00
  1.597984E+00  2.072266E+01  5.703907E+05
  8.243309E-01  9.822165E+19  8.198187E+19
  3.779336E+00  4.840559E-01  3.810209E+00
  1.585494E+00  2.104221E+01  5.859356E+05
  8.343309E-01  9.868022E+19  8.236276E+19
  3.688429E+00  4.558873E-01  3.716496E+00
  1.573501E+00  2.134973E+01  6.012151E+05
  8.443309E-01  9.912288E+19  8.272790E+19
  3.600530E+00  4.279357E-01  3.625871E+00
  1.561769E+00  2.164460E+01  6.161659E+05
  8.543309E-01  9.954834E+19  8.307650E+19
  3.515456E+00  4.001617E-01  3.538158E+00
  1.549914E+00  2.192616E+01  6.307211E+05
  8.643309E-01  9.995526E+19  8.340775E+19
  3.433093E+00  3.724802E-01  3.453240E+00
  1.537903E+00  2.219375E+01  6.448117E+05
  8.743309E-01  1.003422E+20  8.372075E+19
  3.353463E+00  3.447623E-01  3.371138E+00
  1.526240E+00  2.244664E+01  6.583620E+05
  8.843309E-01  1.007074E+20  8.401450E+19
  3.276468E+00  3.169034E-01  3.291757E+00
  1.515036E+00  2.268400E+01  6.712907E+05
  8.943309E-01  1.010493E+20  8.428792E+19
  3.201940E+00  2.888380E-01  3.214941E+00
  1.505329E+00  2.290496E+01  6.835116E+05
  9.043309E-01  1.013660E+20  8.453990E+19
  3.129909E+00  2.605189E-01  3.140732E+00
  1.496077E+00  2.310861E+01  6.949360E+05
  9.143309E-01  1.016557E+20  8.476929E+19
  3.060290E+00  2.318882E-01  3.069063E+00
  1.487398E+00  2.329401E+01  7.054726E+05
  9.243309E-01  1.019165E+20  8.497488E+19
  2.992983E+00  2.028959E-01  2.999852E+00
  1.479458E+00  2.346020E+01  7.150282E+05
  9.343309E-01  1.021465E+20  8.515545E+19
  2.927937E+00  1.734930E-01  2.933072E+00
  1.472450E+00  2.360617E+01  7.235087E+05
  9.443309E-01  1.023436E+20  8.530972E+19
  2.865105E+00  1.436253E-01  2.868703E+00
  1.465532E+00  2.373088E+01  7.308195E+05
  9.543309E-01  1.025059E+20  8.543636E+19
  2.804419E+00  1.132411E-01  2.806704E+00
  1.459110E+00  2.383326E+01  7.368669E+05
  9.643309E-01  1.026314E+20  8.553403E+19
  2.745806E+00  8.229937E-02  2.747039E+00
  1.457921E+00  2.391222E+01  7.415591E+05
  9.743309E-01  1.027180E+20  8.560136E+19
  2.689214E+00  5.076245E-02  2.689693E+00
  1.457102E+00  2.396665E+01  7.448080E+05
  9.843309E-01  1.027639E+20  8.563696E+19
  2.634581E+00  1.859053E-02  2.634646E+00
  1.456669E+00  2.399544E+01  7.465307E+05
  9.943309E-01  1.027670E+20  8.563944E+19
  2.581837E+00  1.425030E-02  2.581876E+00
  1.456639E+00  2.399744E+01  7.466507E+05
  1.004331E+00  1.027258E+20  8.560740E+19
  2.530912E+00  4.778640E-02  2.531363E+00
  1.457028E+00  2.397154E+01  7.451000E+05
  1.014331E+00  1.026384E+20  8.553947E+19
  2.481739E+00  8.203581E-02  2.483094E+00
  1.457855E+00  2.391662E+01  7.418210E+05
  1.024331E+00  1.025033E+20  8.543431E+19
  2.434236E+00  1.170064E-01  2.437047E+00
  1.459135E+00  2.383160E+01  7.367684E+05
  1.034331E+00  1.023192E+20  8.529063E+19
  2.388319E+00  1.526886E-01  2.393194E+00
  1.466550E+00  2.371545E+01  7.299116E+05
  1.044331E+00  1.020850E+20  8.510725E+19
  2.343905E+00  1.890598E-01  2.351517E+00
  1.474323E+00  2.356720E+01  7.212369E+05
  1.054331E+00  1.017999E+20  8.488309E+19
  2.300907E+00  2.260900E-01  2.311988E+00
  1.482999E+00  2.338600E+01  7.107487E+05
  1.064331E+00  1.014635E+20  8.461718E+19
  2.259234E+00  2.637360E-01  2.274575E+00
  1.493164E+00  2.317107E+01  6.984714E+05
  1.074331E+00  1.010754E+20  8.430875E+19
  2.218790E+00  3.019396E-01  2.239241E+00
  1.504593E+00  2.292179E+01  6.844500E+05
  1.084331E+00  1.006360E+20  8.395717E+19
  2.179479E+00  3.406299E-01  2.205937E+00
  1.517218E+00  2.263768E+01  6.687512E+05
  1.094331E+00  1.001457E+20  8.356206E+19
  2.141200E+00  3.797273E-01  2.174611E+00
