          50
  0.000000E+00  0.240000E+05
  0.509302E-03  0.236996E+05
  0.818729E-03  0.235181E+05
  0.118577E-02  0.233037E+05
  0.162825E-02  0.230466E+05
  0.213395E-02  0.227546E+05
  0.271395E-02  0.224221E+05
  0.332960E-02  0.220720E+05
  0.403997E-02  0.216717E+05
  0.478182E-02  0.212577E+05
  0.559437E-02  0.208092E+05
  0.644748E-02  0.203439E+05
  0.737138E-02  0.198463E+05
  0.832923E-02  0.193375E+05
  0.933603E-02  0.188104E+05
  0.104023E-01  0.182609E+05
  0.115045E-01  0.177024E+05
  0.126538E-01  0.171302E+05
  0.138370E-01  0.165522E+05
  0.150850E-01  0.159548E+05
  0.163560E-01  0.153592E+05
  0.176724E-01  0.147562E+05
  0.190429E-01  0.141434E+05
  0.204401E-01  0.135345E+05
  0.218856E-01  0.129215E+05
  0.233824E-01  0.123051E+05
  0.249208E-01  0.116911E+05
  0.264928E-01  0.110843E+05
  0.281242E-01  0.104767E+05
  0.298011E-01  0.987594E+04
  0.315032E-01  0.929089E+04
  0.332764E-01  0.870814E+04
  0.350787E-01  0.814399E+04
  0.369096E-01  0.760021E+04
  0.388014E-01  0.706952E+04
  0.407065E-01  0.656729E+04
  0.426433E-01  0.608971E+04
  0.446047E-01  0.563968E+04
  0.465685E-01  0.522204E+04
  0.485510E-01  0.483188E+04
  0.505242E-01  0.447110E+04
  0.524887E-01  0.413212E+04
  0.544319E-01  0.380452E+04
  0.563517E-01  0.346857E+04
  0.582367E-01  0.309750E+04
  0.600829E-01  0.265651E+04
  0.619004E-01  0.210862E+04
  0.636597E-01  0.145062E+04
  0.653969E-01  0.698388E+03
  0.664971E-01  0.200000E+03
