  0.355102E-03  0.425537E+00  0.904240E+06
  0.336449E-02  0.411325E+00  0.894875E+06
  0.963344E-02  0.382200E+00  0.875692E+06
  0.194544E-01  0.339315E+00  0.846504E+06
  0.331147E-01  0.284392E+00  0.807596E+06
  0.508798E-01  0.219080E+00  0.759801E+06
  0.729811E-01  0.139969E+00  0.704490E+06
  0.996368E-01  0.589304E-01  0.643433E+06
  0.130990E+00 -0.225236E-01  0.578796E+06
  0.167114E+00 -0.104488E+00  0.512903E+06
  0.208027E+00 -0.188207E+00  0.447983E+06
  0.253720E+00 -0.274598E+00  0.385948E+06
  0.304178E+00 -0.364193E+00  0.328270E+06
  0.359395E+00 -0.453535E+00  0.275948E+06
  0.419366E+00 -0.535352E+00  0.229597E+06
  0.484043E+00 -0.595448E+00  0.189622E+06
  0.553250E+00 -0.619124E+00  0.156547E+06
  0.626606E+00 -0.587776E+00  0.131602E+06
  0.703413E+00 -0.497476E+00  0.117916E+06
  0.782676E+00 -0.353606E+00  0.122489E+06
  0.863220E+00 -0.184570E+00  0.151351E+06
  0.943942E+00 -0.436840E-01  0.141553E+06
